id,collection,dc.contributor.author,dc.date.issued,dc.description[en],dc.format.extent,dc.format.mimetype,dc.identifier.citation[en],dc.identifier.uri,dc.language.iso[en],dc.publisher[en],dc.relation.ispartofseries,dc.relation.ispartofseries[en],dc.rights[en],dc.subject[en],dc.title[en],dc.type[en]
"28538","2451/28115","Bagnall, Roger S.","1992",,"1032253 bytes","application/pdf","Roger S. Bagnall, “Combat ou vide: Christianisme et paganisme dans l’Egypte romaine tardive,” Ktema 13 (1988 [1992]) 285-96","http://hdl.handle.net/2451/28211","fr","Ktema",,"D110",,"Religion||Roman Egypt","Combat ou vide: Christianisme et paganisme dans l’Egypte romaine tardive","Article"
"28539","2451/28115","Bagnall, Roger S.","1992",,"1825917 bytes","application/pdf","Roger S. Bagnall, ""Notes on Egyptian Census Declarations, IV,"" BASP 29 (1992) 101-15","http://hdl.handle.net/2451/28212","en_US","Bulletin of the American Society of Papyrologists",,"D111",,"Papyrology||Roman Egypt","Notes on Egyptian Census Declarations, IV","Article"
"28540","2451/28115","Bagnall, Roger S.","1992",,"1751285 bytes","application/pdf","Roger S. Bagnall, ""Landholding in Late Roman Egypt: The Distribution of Wealth,"" JRS 82 (1992) 128-49","http://hdl.handle.net/2451/28213","en_US","Journal of Roman Studies",,"D112",,"Papyrology||Roman Egypt","Landholding in Late Roman Egypt: The Distribution of Wealth","Article"
"28541","2451/28115","Bagnall, Roger S.","1992",,"1687119 bytes","application/pdf","Roger S. Bagnall, ""Count Ausonius,"" Tyche 7 (1992) 9-13","http://hdl.handle.net/2451/28214","en_US","Tyche",,"D113",,"Papyrology||Egypt, late antiquity","Count Ausonius","Article"
"28542","2451/28115","Bagnall, Roger S.","1992",,"865793 bytes","application/pdf","Roger S. Bagnall, &quot;The Periodicity and Collection of the
Chrysargyron,&quot; Tyche 7 (1992) 15-17","http://hdl.handle.net/2451/28215","en_US","Tyche",,"D114",,"Papyrology||Egypt, late antiquity","The Periodicity and Collection of the Chrysargyron","Article"
"28543","2451/28115","Bagnall, Roger S.","1993",,"3390230 bytes","application/pdf","Roger S. Bagnall, ""Census Declarations in the Berlin Collection,"" Archiv für Papyrusforschung 39 (1993) 21-28","http://hdl.handle.net/2451/28216","en_US","Archiv für Papyrusforschung",,"D116",,"Papyrology||Egypt, late antiquity","Census Declarations in the Berlin Collection","Article"
"28544","2451/28115","Bagnall, Roger S.","1993",,"333026 bytes","application/pdf","Roger S. Bagnall, Papyrologica Lupiensia 2 (1993) [Papiri Documentari Greci]","http://hdl.handle.net/2451/28217","en_US","Congedo Editore Papiri Documentari Greci",,"D118",,"Papyrology||Egypt, late antiquity","An Arsinoite Metropolitan Landowning Family of the Fourth Century","Article"
"28552","2451/28115","Bagnall, Roger S.||Lajtar, Adam","1994",,"306677 bytes","application/pdf","Roger S. Bagnall and Adam Lajtar, ""Collection Froehner 81 Once Again,"" JJurPap 24 (1994) 11-12","http://hdl.handle.net/2451/28225","en_US","Journal of Juristic Papyrology",,"D127",,"Epigraphy||Nubian epitaph","Collection Froehner 81 Once Again","Article"
"28556","2451/28115","Bagnall, Roger S.","1995",,"652973 bytes","application/pdf","Roger S. Bagnall, ""The People of P.Mich.inv. 5806,"" ZPE 105 (1995) 253-55","http://hdl.handle.net/2451/28229","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D131",,"Papyrology||Roman Egypt","The People of P.Mich.inv. 5806","Article"
"28545","2451/28115","Bagnall, Roger S.","1993",,"4245478 bytes","application/pdf","Roger S. Bagnall, ""Notes on Egyptian Census Declarations, V,"" BASP 30 (1993) 35-56","http://hdl.handle.net/2451/28218","en_US","Bulletin of the American Society of Papyrologists",,"D119",,"Papyrology||Egypt, late antiquity","Notes on Egyptian Census Declarations, V","Article"
"28546","2451/28115","Bagnall, Roger S.","1993",,"108701 bytes","application/pdf","Roger S. Bagnall, ""Alessandra Gara,"" BASP 30 (1993) 79-80","http://hdl.handle.net/2451/28219","en_US","Bulletin of the American Society of Papyrologists",,"D119a",,"Papyrology||Obituary","Alessandra Gara","Article"
"28551","2451/28115","Bagnall, Roger S.","1994",,"2462116 bytes","application/pdf","Roger S. Bagnall, “Census Declarations from the British Library,” Cd’E 69 (1994) 109-26","http://hdl.handle.net/2451/28224","en_US","Chronique d’Égypte",,"D126",,"Papyrology||Roman Egypt","Census Declarations from the British Library","Article"
"28547","2451/28115","Bagnall, Roger S.","1993",,"258221 bytes","application/pdf","Roger S. Bagnall, ""Egypt and the Lex Minicia,"" Journal of Juristic Papyrology 23 (1993) 25-28","http://hdl.handle.net/2451/28220","en_US","Journal of Juristic Papyrology",,"D120",,"Papyrology||Roman Egypt","Egypt and the Lex Minicia","Article"
"28548","2451/28115","Bagnall, Roger S.","1993",,"2506601 bytes","application/pdf","Roger S. Bagnall, ""Managing Estates in Roman Egypt: A Review Article,"" BASP 30 (1993) 127-35","http://hdl.handle.net/2451/28221","en_US","Bulletin of the American Society of Papyrologists",,"D121",,"Papyrology||Roman Egypt","Managing Estates in Roman Egypt: A Review Article","Article"
"28549","2451/28115","Bagnall, Roger S.||Sheridan, Jennifer A.","1994",,"2701830 bytes","application/pdf","Roger S. Bagnall and Jennifer A. Sheridan, ""Greek and Latin Documents from 'Abu Sha'ar, 1990-1991,"" JARCE 31 (1994) 157-66","http://hdl.handle.net/2451/28222","en_US","Journal of the American Research Center in Egypt",,"D123",,"Papyrology||Epigraphy||Egypt Late Antiquity","Greek and Latin Documents from 'Abu Sha'ar, 1990-1991","Article"
"28550","2451/28115","Bagnall, Roger S.||Worp, K. A.","1994",,"60757 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Three Notes on Byzantine Documents,"" ZPE 101 (1994) 96-98","http://hdl.handle.net/2451/28223","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D124",,"Papyrology||Byzantine Egypt","Three Notes on Byzantine Documents","Article"
"28553","2451/28115","Bagnall, Roger S.","1995",,"1053379 bytes","application/pdf","Roger S. Bagnall, ""Egypt and the 'Barbarians',"" New York Review of Art 1.2 (1994) 8-9","http://hdl.handle.net/2451/28226","en_US","New York Review of Art",,"D128",,"Egypt||Brooklyn Museum, Egyptian Collection||Metropolitan Museum of Art||""Gold of Meroe""","Egypt and the 'Barbarians'","Article"
"28554","2451/28115","Bagnall, Roger S.","1994",,"1038680 bytes","application/pdf","Roger S. Bagnall, ""Governmental Roles in the Economy of Late Antiquity,"" Production and Public Powers in Antiquity, ed. E. Lo Cascio and D. Rathbone. Proceedings of the Eleventh International Economy History Congress B1 (Milan 1994) 61-69; reprinted in Production and Public Powers in Classical Antiquity, ed. E. Lo Cascio and D. Rathbone (Cambridge Philological Society, Suppl. 26, Cambridge 2000) 86-91.","http://hdl.handle.net/2451/28227","en_US","Cambridge Philological Society",,"D129",,"Papyrology||Egypt, late antiquity","Governmental Roles in the Economy of Late Antiquity","Article"
"28555","2451/28115","Bagnall, Roger S.||Worp, K. A.","1995",,"1325164 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""SPP XX 74: The Last Preserved Bank-Diagraphe,"" Tyche 10 (1995) 1-7","http://hdl.handle.net/2451/28228","en_US","Tyche",,"D130",,"Papyrology||Egypt, late antiquity","SPP XX 74: The Last Preserved Bank-Diagraphe","Article"
"28559","2451/28115","Bagnall, Roger S.","1995",,"264148 bytes","application/pdf","Roger S. Bagnall, . ""Charite's Christianity,"" BASP 32 (1995) 37-40","http://hdl.handle.net/2451/28232","en_US","Bulletin of the American Society of Papyrologists",,"D132",,"Early Christianity||Egypt, late antiquity","Charite's Christianity","Article"
